Name;LO;Tune;Mode;SrateOut;LoCut;HiCutCB FM EU 1;26965000;26965000;FM;10000;100;4500
CB FM EU 2;26975000;26975000;FM;10000;100;4500
CB FM EU 3;26985000;26985000;FM;10000;100;4500
CB FM EU 4;27005000;27005000;FM;10000;100;4500
CB FM EU 5;27015000;27015000;FM;10000;100;4500
CB FM EU 6;27025000;27025000;FM;10000;100;4500
CB FM EU 7;27035000;27035000;FM;10000;100;4500
CB FM EU 8;27055000;27055000;FM;10000;100;4500
CB FM EU 9;27065000;27065000;FM;10000;100;4500
CB FM EU 10;27075000;27075000;FM;10000;100;4500
CB FM EU 11;27085000;27085000;FM;10000;100;4500
CB FM EU 12;27105000;27105000;FM;10000;100;4500
CB FM EU 13;27115000;27115000;FM;10000;100;4500
CB FM EU 14;27125000;27125000;FM;10000;100;4500
Дальнобойщики;27135000;27135000;AM;10000;100;4500
CB FM EU 15;27135000;27135000;FM;10000;100;4500
CB FM EU 16;27155000;27155000;FM;10000;100;4500
CB FM EU 17;27165000;27165000;FM;10000;100;4500
CB FM EU 18;27175000;27175000;FM;10000;100;4500
CB FM EU 19;27185000;27185000;FM;10000;100;4500
CB FM EU 20;27205000;27205000;FM;10000;100;4500
CB FM EU 21;27215000;27215000;FM;10000;100;4500
CB FM EU 22;27225000;27225000;FM;10000;100;4500
CB FM EU 24;27235000;27235000;FM;10000;100;4500
CB FM EU 25;27245000;27245000;FM;10000;100;4500
CB FM EU 23;27255000;27255000;FM;10000;100;4500
CB FM EU 26;27265000;27265000;FM;10000;100;4500
CB FM EU 27;27275000;27275000;FM;10000;100;4500
АРК Томск;27275000;27275000;FM;10000;100;4500
CB FM EU 28;27285000;27285000;FM;10000;100;4500
CB FM EU 29;27295000;27295000;FM;10000;100;4500
CB FM EU 30;27305000;27305000;FM;10000;100;4500
CB FM EU 31;27315000;27315000;FM;10000;100;4500
CB FM EU 32;27325000;27325000;FM;10000;100;4500
CB FM EU 33;27335000;27335000;FM;10000;100;4500
CB FM EU 34;27345000;27345000;FM;10000;100;4500
CB FM EU 35;27355000;27355000;FM;10000;100;4500
CB FM EU 36;27365000;27365000;FM;10000;100;4500
CB FM EU 37;27375000;27375000;FM;10000;100;4500
CB FM EU 38;27385000;27385000;FM;10000;100;4500
CB FM EU 39;27395000;27395000;FM;10000;100;4500
CB FM EU 40;27405000;27405000;FM;10000;100;4500
69,8 NFM лав радио;69800000;69800000;FM;160000;100;4500
70,2 NFM шансон;70190000;70190000;FM;160000;100;4500
72,0 NFM ваня;71990000;71990000;FM;160000;100;4500
88,5 FM звезда;88500000;88500000;FM;200000;100;4500
90.3 FM Искатель;90300000;90300000;FM;200000;100;4500
90.7 FM наше;90700000;90700000;FM;160000;100;4500
91.1 FM Вести;91100000;91100000;FM;160000;100;4500
91,5 FM мир;91500000;91500000;FM;200000;100;4500
100,9 FM благовест;100900000;100900000;FM;200000;100;4500
101,3 FM дорожное радио;101300000;101300000;FM;200000;100;4500
101,7 FM хит фм;101700000;101700000;FM;200000;100;4500
102,1 FM русское радио;102100000;102100000;FM;200000;100;4500
102,5 FM ретро фм;102500000;102500000;FM;200000;100;4500
102,9 FM радио россии;102900000;102900000;FM;200000;100;4500
103,8 FM DFM;103800000;103800000;FM;200000;100;4500
104,2 FM юмор фм;104200000;104200000;FM;200000;100;4500
104,6 FM сибирь;104600000;104600000;FM;200000;100;4500
105,0 FM эхо мацы;105000000;105000000;FM;200000;100;4500
105,4 FM авторадио;105400000;105400000;FM;200000;100;4500
106,1 FM милицейская волна;106100000;106100000;FM;200000;100;4500
106,6 FM маяк;106600000;106600000;FM;200000;100;4500
107,1 FM дача;107100000;107100000;FM;200000;100;4500
107,6 FM Европа Плюс;107600000;107600000;FM;200000;100;4500
Авиадиспетчеры;126100000;126100000;AM;20000;100;4500
эхолинк;145225000;145225000;FM;10000;100;4500
РОВД Кировский;148025000;148025000;FM;10000;100;4500
РОВД Советский;148075000;148075000;FM;10000;100;4500
ОВО 1;148100000;148100000;FM;10000;100;4500
ОВО 2;148125000;148125000;FM;10000;100;4500
РОВД Октябрьский;148175000;148175000;FM;10000;100;4500
РОВД Ленинский;148225000;148225000;FM;10000;100;4500
ОВД Северск;148250000;148250000;FM;10000;100;4500
ППС/ОКС;148275000;148275000;FM;10000;100;4500
?;148323450;148323450;FM;10000;100;4500
ГАИ 2;148375000;148375000;FM;10000;100;4500
РОВД Томский;148425000;148425000;FM;10000;100;4500
ДЧ УВД;148500000;148500000;FM;10000;100;4500
ГАИ 1;148575000;148575000;FM;10000;100;4500
ЛОВД;148975000;148975000;FM;10000;100;4500
РЖД 0;152900000;152900000;FM;10000;100;4500
РЖД 1;152950000;152950000;FM;10000;100;4500
РЖД 2;152975000;152975000;FM;10000;100;4500
РЖД 3;153100000;153100000;FM;10000;100;4500
РЖД 4;153900000;153900000;FM;10000;100;4500
РЖД 5;153975000;153975000;FM;10000;100;4500
РЖД 6;154000000;154000000;FM;10000;100;4500
РЖД 7;154500000;154500000;FM;10000;100;4500
РЖД 8;154525000;154525000;FM;10000;100;4500
РЖД 9;154650000;154650000;FM;10000;100;4500
РЖД 10;154700000;154700000;FM;10000;100;4500
Такси 1;164700000;164700000;FM;10000;100;4500
Такси 2;164750000;164750000;FM;10000;100;4500
Скорая помощь;164950000;164950000;FM;10000;100;4500
Энергетики;167700000;167700000;FM;10000;100;4500
LPD 1 (8: 1);433075000;433075000;FM;10000;100;4500
LPD 2 (8: 2);433100000;433100000;FM;10000;100;4500
LPD 3;433125000;433125000;FM;10000;100;4500
LPD 4;433150000;433150000;FM;10000;100;4500
LPD 5;433175000;433175000;FM;10000;100;4500
LPD 6 (8: 3);433200000;433200000;FM;10000;100;4500
LPD 7;433225000;433225000;FM;10000;100;4500
LPD 8;433250000;433250000;FM;10000;100;4500
LPD 9;433275000;433275000;FM;10000;100;4500
LPD 10 (8: 4);433300000;433300000;FM;10000;100;4500
LPD 11;433325000;433325000;FM;10000;100;4500
LPD 12 (8: 5);433350000;433350000;FM;10000;100;4500
LPD 13;433375000;433375000;FM;10000;100;4500
LPD 14;433400000;433400000;FM;10000;100;4500
LPD 15;433425000;433425000;FM;10000;100;4500
LPD 16;433450000;433450000;FM;10000;100;4500
LPD 17 (8: 6);433475000;433475000;FM;10000;100;4500
LPD 18;433500000;433500000;FM;10000;100;4500
LPD 19;433525000;433525000;FM;10000;100;4500
LPD 20;433550000;433550000;FM;10000;100;4500
LPD 21;433575000;433575000;FM;10000;100;4500
LPD 22;433600000;433600000;FM;10000;100;4500
LPD 23 (8: 7);433625000;433625000;FM;10000;100;4500
LPD 24;433650000;433650000;FM;10000;100;4500
LPD 25;433675000;433675000;FM;10000;100;4500
LPD 26;433700000;433700000;FM;10000;100;4500
LPD 27;433725000;433725000;FM;10000;100;4500
LPD 28;433750000;433750000;FM;10000;100;4500
LPD 29;433775000;433775000;FM;10000;100;4500
LPD 30 (8: 8);433800000;433800000;FM;10000;100;4500
LPD 31;433825000;433825000;FM;10000;100;4500
LPD 32;433850000;433850000;FM;10000;100;4500
LPD 33;433875000;433875000;FM;10000;100;4500
LPD 34;433900000;433900000;FM;10000;100;4500
LPD 35;433925000;433925000;FM;10000;100;4500
LPD 36;433950000;433950000;FM;10000;100;4500
LPD 37;433975000;433975000;FM;10000;100;4500
LPD 38;434000000;434000000;FM;10000;100;4500
LPD 39;434025000;434025000;FM;10000;100;4500
LPD 40;434050000;434050000;FM;10000;100;4500
LPD 41;434075000;434075000;FM;10000;100;4500
LPD 42;434100000;434100000;FM;10000;100;4500
LPD 43;434125000;434125000;FM;10000;100;4500
LPD 44;434150000;434150000;FM;10000;100;4500
LPD 45;434175000;434175000;FM;10000;100;4500
LPD 46;434200000;434200000;FM;10000;100;4500
LPD 47;434225000;434225000;FM;10000;100;4500
LPD 48;434250000;434250000;FM;10000;100;4500
LPD 49;434275000;434275000;FM;10000;100;4500
LPD 50;434300000;434300000;FM;10000;100;4500
LPD 51;434325000;434325000;FM;10000;100;4500
LPD 52;434350000;434350000;FM;10000;100;4500
LPD 53;434375000;434375000;FM;10000;100;4500
LPD 54;434400000;434400000;FM;10000;100;4500
LPD 55;434425000;434425000;FM;10000;100;4500
LPD 56;434450000;434450000;FM;10000;100;4500
LPD 57;434475000;434475000;FM;10000;100;4500
LPD 58;434500000;434500000;FM;10000;100;4500
LPD 59;434525000;434525000;FM;10000;100;4500
LPD 60;434550000;434550000;FM;10000;100;4500
LPD 61;434575000;434575000;FM;10000;100;4500
LPD 62;434600000;434600000;FM;10000;100;4500
LPD 63;434625000;434625000;FM;10000;100;4500
LPD 64;434650000;434650000;FM;10000;100;4500
LPD 65;434675000;434675000;FM;10000;100;4500
LPD 66;434700000;434700000;FM;10000;100;4500
LPD 67;434725000;434725000;FM;10000;100;4500
LPD 68;434750000;434750000;FM;10000;100;4500
LPD 69;434775000;434775000;FM;10000;100;4500
PMR 1;446006250;446006250;FM;10000;100;4500
PMR 2;446018750;446018750;FM;10000;100;4500
PMR 3;446031250;446031250;FM;10000;100;4500
PMR 4;446043750;446043750;FM;10000;100;4500
PMR 5;446056250;446056250;FM;10000;100;4500
PMR 6;446068750;446068750;FM;10000;100;4500
PMR 7;446081250;446081250;FM;10000;100;4500
PMR 8;446093750;446093750;FM;10000;100;4500
МЧС RX;457530500;457530500;FM;5000;100;4500
МЧС TX;458721100;458721100;FM;20000;100;4500
